code,product_name,quantity,brand,categories,ingredients,image_url,nutriscore_grade,energy_100g,fat_100g,saturated_fat_100g,proteins_100g,carbohydrates_100g,sugars_100g,fiber_100g,sodium_100g
92891730000009,"Лимони, цитрусови плодове",1000 GRAM,,Хранителни стоки > Плодове и зеленчуци > Плодове > Лимони,,https://cdn.metro-group.com/bg/bg_pim_161330001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800500330495,Фреш сок лимон 1 л,1000 GRAM,NO BRAND,Хранителни стоки > Напитки > Безалкохолни напитки и вода > Сокове и нектари | Хранителни стоки > Плодове и зеленчуци > Плодове > Други плодове,"Лимон, готов за консумация.",https://cdn.metro-group.com/bg/bg_pim_340585001001_01.png?format=jpg&quality=80&dpi=72,,144.0,,,,,,,
3800218582803,CONTEMPLATIONS Вино розе 750 мл,750 GRAM,CONTEMPLATIONS,Хранителни стоки > Напитки > Вино > Розе,Грозде,https://cdn.metro-group.com/bg/bg_pim_260597001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800500064024,Салата лоло росо,135 GRAM,NO BRAND,Хранителни стоки > Плодове и зеленчуци > Зеленчуци > Салати,,https://cdn.metro-group.com/bg/bg_pim_162382001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
33800081430561,BIOSET Карамфил 10 бр х 5 г,5 GRAM,БИОСЕТ,"Хранителни стоки > Пакетирани храни > Овкусители, подправки и сосове > Подправки",Карамфил,https://cdn.metro-group.com/bg/bg_pim_312142001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
4337182012078,METRO Chef Нарязан артишок 425 мл,400 GRAM,METRO CHEF,Хранителни стоки > Консерви > Зеленцучи > Артишок,артишок (ангинар) вода сол регулатор на киселинността лимонена киселина,https://cdn.metro-group.com/bg/bg_pim_220398001001_01.png?format=jpg&quality=80&dpi=72,,98.0,0.0,0.0,1.9,2.4,1.0,,280.0
2869810000000,Киви,1000 GRAM,NO BRAND,Хранителни стоки > Плодове и зеленчуци > Плодове > Екзотични плодове,,https://cdn.metro-group.com/bg/bg_pim_141245001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800202693492,"aro Стерилизирани корнишони 9-12см 1,6кг",1600 GRAM,ARO,Хранителни стоки > Консерви > Зеленцучи > Кисели зеленчуци | Хранителни стоки > Нашите марки > Консерви > Зеленчуци > Кисели зеленчуци,Корнишон Вода Оцетна киселина Сол Бяла захар Бял лук Копър Кориандър СЕМЕНА ОТ КАФЯВ СИНАП,https://cdn.metro-group.com/bg/bg_pim_266593001001_01.png?format=jpg&quality=80&dpi=72,,122.0,0.2,0.0,1.4,4.6,4.2,,0.0
3800047767495,aro Шпек Бургас 240г,240 GRAM,ARO,Хранителни стоки > Колбаси > Колбаси > Шпек и луканка | Хранителни стоки > Нашите марки > Колбаси > Колбаси > Шпек и луканка,свинско месо вода свинско механично обезкостено месо свинска кожа свинска кожа вода сол стабилизатор дифосфати полифосфати картофено нишесте МЛЕЧЕН ПРОТЕИН МЛЕЧЕН ПРОТЕИН малтодекстрин декстроза Оцветител кармини стабилизатор трифосфати антиоксидант натриев аскорбат СОЕВ ПРОТЕИН йодирана сол говежди протеини трифосфати мононатриев глутамат черен пипер нитритна сол сол консервант натриев нитрит,https://cdn.metro-group.com/bg/bg_pim_306956001001_01.png?format=jpg&quality=80&dpi=72,,1028.2,17.0,8.2,19.0,4.2,1.3,,1200.0
5948792018061,Fine Life Зелени маслини на шайби 680г,680 GRAM,FINE LIFE,Хранителни стоки > Консерви > Зеленцучи > Зелени маслини,amphissa olives вода сол регулатор на киселинността млечна киселина лимонена киселина,https://cdn.metro-group.com/bg/bg_pim_346129001001_01.png?format=jpg&quality=80&dpi=72,,742.0,18.7,2.9,1.0,1.0,1.0,,1800.0
8412598005893,Estrella Бира без глутен 5.4% 330мл,330 GRAM,ESTRELLA,Хранителни стоки > Напитки > Бира и сайдер > Бира,Вода ЕЧЕМИЧЕН МАЛЦ хмел екстракт от хмел мая,https://cdn.metro-group.com/bg/bg_pim_319541001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
5201050112025,КАЛАС Сол класик 750г,750 GRAM,KALAS,"Хранителни стоки > Пакетирани храни > Овкусители, подправки и сосове > Сол","Сол, калиев йодат, стабилизатор натриев карбонат, Е536.",https://cdn.metro-group.com/bg/bg_pim_28423001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
4009367220904,METAXA 5* Бренди 38% 700мл,,METAXA,Хранителни стоки > Напитки > Високоалкохолни напитки > Ракия и бренди,"Дестилат от мускатово вино, билки, средиземноморски растения",https://cdn.metro-group.com/bg/bg_pim_41926001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
5948792054670,aro Суха паста какао с какаова глазура ( 18 бр x 50 г ) 900 г,900 GRAM,ARO,Хранителни стоки > Захарни и солени изделия > Кексове и кроасани | Хранителни стоки > Нашите марки > Захарни и солени изделия > Кексове и кроасани,"Растително нехидрогенирано палмово масло,  захар, сироп със захар, пшенично брашно, яйчен меланж, глюкозен сироп, вода, какао на прах 3. 8%, суроватка на прах,  влагозадържащи агенти, емулгатори, полиглицерол естери на мастни киселини, слънчогледов лецитин, трапезна сол, консервант: калиев сорбат.",https://cdn.metro-group.com/bg/bg_pim_343766001001_01.png?format=jpg&quality=80&dpi=72,,1762.0,18.1,7.7,3.85,58.1,38.9,,0.0
4770608259785,Sheba Храна за котки мини пауч с риба ( 6 х 50 г ) 300 г,300 GRAM,SHEBA,Хранителни стоки > Домашни любимци > Котки > Храна,,https://cdn.metro-group.com/bg/bg_pim_301507001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800058544719,Fuego Антипасти чери микс чушки 180г,180 GRAM,FUEGO,Хранителни стоки > Млечни продукти и яйца > Салати и деликатеси > Деликатеси,Люти чушки 42% (червени консервант: калиев сорбат жълти зелени) КРЕМА СИРЕНЕ (обезмаслено МЛЯКО СМЕТАНА обезмаслено сухо МЛЯКО тапиока нишесте сол МЛЕЧНОкисела закваска) рафинирано слънчогледово масло.,https://cdn.metro-group.com/bg/bg_pim_348599001001_01.png?format=jpg&quality=80&dpi=72,,717.0,15.0,,,,,,
5000267096018,Johnnie Walker BLUE Уиски 40% 700мл,800 GRAM,JOHNNIE WALKER,Хранителни стоки > Напитки > Високоалкохолни напитки > Уиски,,https://cdn.metro-group.com/bg/bg_pim_77575001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
8011661001499,МАНТОВА Грана падано 200г,200 GRAM,МАНТОВА,Хранителни стоки > Млечни продукти и яйца > Сирене и кашкавал > Твърдо сирене,КРАВЕ МЛЯКО сол мая,https://cdn.metro-group.com/bg/bg_pim_330472001001_02.png?format=jpg&quality=80&dpi=72,,1654.0,29.0,18.0,33.0,0.0,0.0,,
8002230000012,APEROL Спиртна Напитка 1л,1000 GRAM,APEROL,Хранителни стоки > Напитки > Високоалкохолни напитки > Ликьор,Вода захар алкохол растителни вещества хинин натриев хлорид оцветители: Е110 оранжево-жълт Е124 кохинилово-червен,https://cdn.metro-group.com/bg/bg_pim_250141001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
4337182009450,aro Червен боб 400г,400 GRAM,ARO,Хранителни стоки > Нашите марки > Консерви > Зеленчуци > Бобени | Хранителни стоки > Консерви > Зеленцучи > Бобени,червен боб вода захар сол втвърдител калциев хлорид,https://cdn.metro-group.com/bg/bg_pim_238174001001_01.png?format=jpg&quality=80&dpi=72,,466.0,0.6,0.0,7.9,15.0,1.8,,240.0
3800081440149,BIOSET Суха Инстантна Мая 5 бр х 7 г,7 GRAM,БИОСЕТ,Хранителни стоки > Тестени изделия > Торти и десерти > Пекарна,Суха инстантна мая (Saccharomyces cerevisiae) емулгатор: Е 491.,https://cdn.metro-group.com/bg/bg_pim_264287001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
2834870000000,Фагри чистено от р-р 300/800,1000 GRAM,NO BRAND,Хранителни стоки > Риба > Прясна риба > Соленоводна риба,Фагри РИБА,https://cdn.metro-group.com/bg/bg_pim_308672001001_01?format=jpg&quality=80&dpi=72,,,,,,,,,
3800233685404,ROOBAR Био суров десерт с бадеми покрит шоколад 30г,30 GRAM,ROOBAR,Хранителни стоки > Захарни и солени изделия > Шоколад,БАДЕМИ (32%) оризов сироп шоколад (какаова маса кокосова захар какаово масло слънчогледов лецитин) (18%) кокосово брашно какаово масло,https://cdn.metro-group.com/bg/bg_pim_324696001001_01.png?format=jpg&quality=80&dpi=72,,1963.0,31.0,11.0,,37.0,22.0,,
3000003086800,Хрян 110г,100 GRAM,NO BRAND,Хранителни стоки > Плодове и зеленчуци > Зеленчуци > Кореноплодни зелечуци,,https://cdn.metro-group.com/bg/bg_pim_313746001001_01.png?format=jpg&quality=80&dpi=72,,,,,,,,,
3800008600540,ИЗГРЕВ Бисквити 182г,182 GRAM,ИЗГРЕВ,Хранителни стоки > Захарни и солени изделия > Бисквити,ПШЕНИЧНО БРАШНО захар растително масло (палмово) набухватели: амониев бикарбонат натриев бикарбонат сол агент за обработка на брашна:  калиев метабиСУЛФИТ регулатор на киселинността: лимонена киселина ароматизант.,https://cdn.metro-group.com/bg/bg_pim_251702001001_01?format=jpg&quality=80&dpi=72,,1719.0,8.0,,,73.0,23.0,,
